Q8TBF5	GO:0000037	
G5E9R7	GO:0000002	GO:0006996
		GO:0009987
		GO:0016043
		GO:0008150
		GO:0007005
		GO:0071840
Q5MIZ7	GO:0000107	GO:0003824
		GO:0016740
		GO:0003674
		GO:0016757
		GO:0016763
	GO:0000052	GO:0044238
		GO:0006520
		GO:1901564
		GO:0006082
		GO:0009987
		GO:0019752
		GO:0071704
		GO:0006807
		GO:0008150
		GO:0044237
		GO:0008152
		GO:0043436
		GO:1901605
		GO:0044281
	GO:0000039	
Q9NVL8	
Q8IZF5	GO:0000037	
	GO:0000002	GO:0006996
		GO:0009987
		GO:0016043
		GO:0008150
		GO:0007005
		GO:0071840
P30613	GO:0000107	GO:0003824
		GO:0016740
		GO:0003674
		GO:0016757
		GO:0016763
	GO:0000037	
	GO:0000002	GO:0006996
		GO:0009987
		GO:0016043
		GO:0008150
		GO:0007005
		GO:0071840
O75326	GO:0000037	
	GO:0000107	GO:0003824
		GO:0016740
		GO:0003674
		GO:0016757
		GO:0016763
	GO:0062023	GO:0005575
		GO:0110165
		GO:0031012
	GO:0000024	GO:0071704
		GO:0046351
		GO:0044262
		GO:0044238
		GO:0005975
		GO:0005984
		GO:0009987
		GO:0009311
		GO:0044237
		GO:0009312
		GO:0034637
		GO:0009058
		GO:0008150
		GO:0008152
		GO:1901576
		GO:0000023
		GO:0044249
		GO:0016051
Q9NQ76	GO:0000037	
Q96N68	GO:0000037	
Q5H9L2	
P20930	GO:0000052	GO:0044238
		GO:0006520
		GO:1901564
		GO:0006082
		GO:0009987
		GO:0019752
		GO:0071704
		GO:0006807
		GO:0008150
		GO:0044237
		GO:0008152
		GO:0043436
		GO:1901605
		GO:0044281
	GO:0000002	GO:0006996
		GO:0009987
		GO:0016043
		GO:0008150
		GO:0007005
		GO:0071840
F8VUJ3	
P20933	GO:0000037	
	GO:0000107	GO:0003824
		GO:0016740
		GO:0003674
		GO:0016757
		GO:0016763
Q8TDW4	GO:0000037	
	GO:0000024	GO:0071704
		GO:0046351
		GO:0044262
		GO:0044238
		GO:0005975
		GO:0005984
		GO:0009987
		GO:0009311
		GO:0044237
		GO:0009312
		GO:0034637
		GO:0009058
		GO:0008150
		GO:0008152
		GO:1901576
		GO:0000023
		GO:0044249
		GO:0016051
P20936	GO:0000107	GO:0003824
		GO:0016740
		GO:0003674
		GO:0016757
		GO:0016763
	GO:0000002	GO:0006996
		GO:0009987
		GO:0016043
		GO:0008150
		GO:0007005
		GO:0071840
	GO:0000024	GO:0071704
		GO:0046351
		GO:0044262
		GO:0044238
		GO:0005975
		GO:0005984
		GO:0009987
		GO:0009311
		GO:0044237
		GO:0009312
		GO:0034637
		GO:0009058
		GO:0008150
		GO:0008152
		GO:1901576
		GO:0000023
		GO:0044249
		GO:0016051
A0A1W2PQ27	
Q9NZV5	GO:0000107	GO:0003824
		GO:0016740
		GO:0003674
		GO:0016757
		GO:0016763
	GO:0000037	
	GO:0000002	GO:0006996
		GO:0009987
		GO:0016043
		GO:0008150
		GO:0007005
		GO:0071840
Q8NFX7	GO:0000002	GO:0006996
		GO:0009987
		GO:0016043
		GO:0008150
		GO:0007005
		GO:0071840
	GO:0000108	
Q9UM21	GO:0000037	
	GO:0000003	GO:0008150
P83859	GO:0000015	GO:0005575
		GO:0032991
		GO:1902494
	GO:0000107	GO:0003824
		GO:0016740
		GO:0003674
		GO:0016757
		GO:0016763
	GO:0000024	GO:0071704
		GO:0046351
		GO:0044262
		GO:0044238
		GO:0005975
		GO:0005984
		GO:0009987
		GO:0009311
		GO:0044237
		GO:0009312
		GO:0034637
		GO:0009058
		GO:0008150
		GO:0008152
		GO:1901576
		GO:0000023
		GO:0044249
		GO:0016051
Q8WXE9	GO:0000107	GO:0003824
