Device Type,Device Family,Device Model,Recommended Software Version,Min. Supported Software Version ¹,Min. Cisco DNA Center Release,Cisco DNA Essentials license ²,Cisco DNA Advantage license,Inventory,Topology,SWIM,PnP,Cisco DNA Assurance,ENFV & Routing,Application Policy,Patching (SMU),IWAN,Cisco SD-Access³,,
Switch,Cisco Catalyst 6500 Series Switches,C6509E (Sup 2T|6T),IOS 15.5(1)SY1,≥ 15.0SY | ≥ 15.3SY,1.0,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,NA,Y,,
Switch,Cisco Catalyst 6500 Series Switches,C6513E (Sup 2T|6T),IOS 15.5(1)SY1,≥ 15.0SY | ≥ 15.3SY,1.0,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,NA,Y,,
Switch,Cisco Catalyst 6800 Series Switches,C6807-XL (Sup 2T|6T),IOS 15.5(1)SY1,≥ 15.1SY | ≥ 15.3SY,1.0,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,NA,Y,,
Switch,Cisco Catalyst 6800 Series Switches,C6840-X,IOS 15.5(1)SY1,≥ 15.2(2)SY,1.0,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,NA,Y,,
Switch,Cisco Catalyst 6800 Series Switches,C6880-X,IOS 15.5(1)SY1,≥ 15.1SY,1.0,Y,Y,Y,Y,Y,Y,Y,NA,Y,NA,NA,Y,,
Switch,Cisco Catalyst 9200 Series Switches,C9200-24P,IOS-XE 16.11.1,IOS-XE 16.10.1,1.2.8,Y,Y,Y,Y,Y,Y,Y,NA,N,Y,NA,Y,,
Switch,Cisco Catalyst 9200 Series Switches,C9200-24PXG ,IOS-XE 16.11.1,IOS-XE 16.11.1,1.3,N,Y,Y,Y,Y,Y,Y,NA,N,Y,NA,Y,,
Switch,Cisco Catalyst 9200 Series Switches,C9200-24T,IOS-XE 16.11.1,IOS-XE 16.10.1,1.2.8,Y,Y,Y,Y,Y,Y,Y,NA,N,Y,NA,Y,,
Switch,Cisco Catalyst 9200 Series Switches,C9200-48P,IOS-XE 16.11.1,IOS-XE 16.10.1,1.2.8,Y,Y,Y,Y,Y,Y,Y,NA,N,Y,NA,Y,,
Switch,Cisco Catalyst 9200 Series Switches,C9200-48PXG,IOS-XE 16.11.1,IOS-XE 16.11.1,1.3,N,Y,Y,Y,Y,Y,Y,NA,N,Y,NA,Y,,
Switch,Cisco Catalyst 9200 Series Switches,C9200-48T,IOS-XE 16.11.1,IOS-XE 16.10.1,1.2.8,Y,Y,Y,Y,Y,Y,Y,NA,N,Y,NA,Y,,
Switch,Cisco Catalyst 9200 Series Switches,C9200L-24P-4G,IOS-XE 16.11.1c,IOS-XE 16.10.1,1.2.8,Y,Y,Y,Y,Y,Y,Y,NA,N,Y,NA,Y,,
Switch,Cisco Catalyst 9200 Series Switches,C9200L-24P-4X,IOS-XE 16.11.1c,IOS-XE 16.10.1,1.2.8,Y,Y,Y,Y,Y,Y,Y,NA,N,Y,NA,Y,,
Switch,Cisco Catalyst 9200 Series Switches,C9200L-24PXG-2Y,IOS-XE 16.11.1c,IOS-XE 16.10.1,1.3,N,Y,Y,Y,Y,Y,Y,NA,N,Y,NA,Y,,
Switch,Cisco Catalyst 9200 Series Switches,C9200L-24PXG-4X,IOS-XE 16.11.1c,IOS-XE 16.10.1,1.3,N,Y,Y,Y,Y,Y,Y,NA,N,Y,NA,Y,,
Switch,Cisco Catalyst 9200 Series Switches,C9200L-24T-4G,IOS-XE 16.11.1c,IOS-XE 16.10.1,1.2.8,Y,Y,Y,Y,Y,Y,Y,NA,N,Y,NA,Y,,
Switch,Cisco Catalyst 9200 Series Switches,C9200L-24T-4X,IOS-XE 16.11.1c,IOS-XE 16.10.1,1.2.8,Y,Y,Y,Y,Y,Y,Y,NA,N,Y,NA,Y,,
